Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_37_509.jpg;0;1;0;0.5221803;99.78331;85.76463;1.078282;57.21452;-0.0005497675
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_37_576.jpg;0;1;0;0.5722782;99.80317;85.79521;1.153751;57.21827;-0.0004995321
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_37_642.jpg;0;1;0;0.6275822;99.82465;85.82829;1.241152;57.19762;-0.0008075925
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_37_715.jpg;0;1;0;0.6648863;99.85419;85.87389;1.224142;57.24465;-0.001432879
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_37_779.jpg;-4.202022;1;0;0.751197;99.87911;85.91117;1.200543;57.15942;-4.859572E-05
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_37_846.jpg;-4.145472;1;0;0.8022146;99.90668;85.9503;1.193571;56.90393;-0.0001964105
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_37_913.jpg;-8.242134;1;0;0.8454865;99.94726;86.00575;1.203618;56.29823;0.002717334
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_37_980.jpg;-12.14407;1;0;0.8986835;99.98117;86.04883;1.203133;55.54181;0.003791458
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_38_045.jpg;-12.25962;1;0;0.9619898;100.018;86.09302;1.197034;54.58483;0.003805433
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_38_111.jpg;-15;1;0;1.000284;100.0715;86.15361;1.195335;53.10554;359.9935
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_38_176.jpg;-15;1;0;1.046525;100.1151;86.20046;1.206378;51.94889;359.9804
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_38_246.jpg;-15;1;0;1.115036;100.1616;86.24868;1.214047;50.82936;359.9702
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_38_314.jpg;-11.02162;1;0;1.160756;100.2267;86.3159;1.210654;49.54616;-0.005454644
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_38_381.jpg;-7.005037;1;0;1.206501;100.278;86.36893;1.226923;48.78992;0.004117066
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_38_443.jpg;-3.173787;1;0;1.271134;100.3308;86.42435;1.239701;48.3049;0.002415277
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_38_514.jpg;1.089874;1;0;1.318977;100.4024;86.50269;1.23676;48.17064;-0.0005570036
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_38_581.jpg;0;1;0;1.369011;100.4581;86.56448;1.241902;48.15736;-0.0009527417
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_38_647.jpg;4.008197;1;0;1.429952;100.5149;86.62894;1.246705;48.3254;-0.002046926
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_38_715.jpg;0;1;0;1.477948;100.5933;86.71838;1.251604;48.51705;-0.001351339
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_38_781.jpg;0;1;0;1.538777;100.6547;86.78748;1.255421;48.52362;-0.001067206
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_38_847.jpg;0;1;0;1.585491;100.7181;86.85863;1.259686;48.51174;-0.0009785544
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_38_914.jpg;0;1;0;1.632596;100.8055;86.95666;1.264213;48.49702;-0.0009830928
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_38_982.jpg;0;1;0;1.694093;100.8732;87.03262;1.269915;48.48547;-0.00101592
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_39_048.jpg;-4.04068;1;0;1.739024;100.9677;87.13565;1.26809;48.14639;0.0004590157
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_39_111.jpg;-0.138102;1;0;1.785006;101.0409;87.21526;1.273186;47.94551;-3.952347E-05
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_39_178.jpg;0;1;0;1.830127;101.1156;87.29724;1.282823;47.90522;-0.0009329549
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_39_245.jpg;0;1;0;1.890789;101.192;87.38118;1.285933;47.89087;-0.001070582
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_39_310.jpg;0;1;0;1.935984;101.2969;87.49622;1.291305;47.8741;-0.001101408
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_39_382.jpg;0;1;0;1.981037;101.3777;87.58482;1.29739;47.86371;-0.001137491
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_39_447.jpg;0;1;0;2.040266;101.4602;87.67535;1.298168;47.85181;-0.001126203
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_39_511.jpg;0;1;0;2.085504;101.5732;87.79915;1.304008;47.83765;-0.001185985
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_39_580.jpg;0;1;0;2.130078;101.6601;87.8943;1.309319;47.82516;-0.001189377
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_39_647.jpg;0;1;0;2.189196;101.7487;87.99134;1.310128;47.81407;-0.001191246
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_39_713.jpg;0;1;0;2.233147;101.8697;88.12376;1.313505;47.79939;-0.001204084
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_39_780.jpg;0;1;0;2.277242;101.9626;88.22535;1.317798;47.78732;-0.001227518
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_39_847.jpg;0;1;0;2.335437;102.0573;88.32885;1.322083;47.77748;-0.001255755
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_39_915.jpg;0;1;0;2.379221;102.1863;88.46981;1.325386;47.76067;-0.001262455
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_39_980.jpg;0;1;0;2.422562;102.2851;88.57778;1.33135;47.74938;-0.001294056
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_40_042.jpg;0;1;0;2.479664;102.3857;88.68758;1.331535;47.73857;-0.001285383
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_40_111.jpg;0;1;0;2.523473;102.5225;88.83692;1.332205;47.72212;-0.001304599
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_40_178.jpg;-4.036066;1;0;2.566158;102.6283;88.95012;1.336366;47.43224;-0.0001960477
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_40_248.jpg;-8.196912;1;0;2.62149;102.7751;89.10023;1.315654;46.35472;359.9923
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_40_313.jpg;-12.23088;1;0;2.660511;102.8912;89.21015;1.279171;44.94858;359.9168
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_40_381.jpg;-8.30739;1;0;2.698848;103.01;89.3194;1.196215;43.53234;359.8639
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_40_446.jpg;-12.35609;1;0;2.755072;103.1334;89.42651;1.090338;42.06122;359.7678
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_40_509.jpg;-12.28934;1;0;2.794213;103.3048;89.56557;0.9024629;39.92485;359.5997
